,구별,2018,2019,2020,2021,2022,2023
0,종로구,5817711,6470634,6254894,8380858,7646290,6697593
1,중구,1928312,1851805,1416451,1841790,1992693,1642453
2,용산구,4489979,4639205,5652493,8236918,9690786,9190764
3,성북구,1515693,1165948,1178577,1406294,1338872,1174230
4,서대문구,1057910,1115147,1127665,1235636,1285972,1253033
5,은평구,423092,511805,597981,702648,745527,623874
6,마포구,1805758,2012467,2310693,2625335,2348472,2430816
7,영등포구,8883370,9956506,10112760,12497656,15085835,12998902
8,강서구,1526630,1827771,1461504,2115996,3003554,3082684
9,양천구,1131111,1193771,1332163,1561172,1630061,1369175
10,구로구,1795570,1740477,1770986,1918914,2380416,1889543
11,동작구,1396163,1450100,1508106,1855513,1819853,1531440
12,금천구,1609423,1708030,1873110,1822034,2133915,2052301
13,관악구,683475,677625,759178,841723,889713,765098
14,강남구,4963590,4845144,5465896,6472852,7053611,6581595
15,서초구,6639407,6833966,5646073,7119802,10241029,10960871
16,성동구,3090489,3193000,3617519,4334356,4987636,4522642
17,동대문구,922992,873990,961832,1112307,1077848,1056245
18,중랑구,454056,434660,448893,532155,635722,557820
19,도봉구,482519,439731,481143,562571,579223,528793
20,강동구,1203357,1316698,1608368,1927094,2504817,1847681
21,송파구,1508269,1685614,1928479,2215542,2514866,2229439
