,자치구,총 주택수,개인소유 주택수,동일시군구 거주자 소유주택,동일시도내 타시군구 거주자 소유주택,타시도 거주자 소유주택,총가구(일반가구)(A) (가구),주택소유가구(B) (가구)
0,종로구,47025,42893,28803,7431,6659,64507,31416
1,중구,44191,35925,21361,8008,6556,59265,24528
2,용산구,77734,69243,37042,16378,15823,98322,44351
3,성동구,91252,79491,52389,13720,13382,123124,58998
4,광진구,95286,89376,65132,11202,13042,158612,65962
5,동대문구,110169,93716,66774,13085,13857,159457,70535
6,중랑구,119961,103235,78922,11015,13298,171823,80066
7,성북구,143240,126824,93625,16187,17012,184404,96084
8,강북구,100418,85889,63019,11251,11619,131363,64605
9,도봉구,109465,102595,78061,11098,13436,129149,78594
10,노원구,192926,161429,116067,19399,25963,205769,116233
11,은평구,165462,142838,104865,15070,22903,198534,105355
12,서대문구,106640,90702,63352,13027,14323,138166,67811
13,마포구,129421,108516,69594,18125,20797,167410,75004
14,양천구,147619,130037,93099,15407,21531,169479,98429
15,강서구,203887,165759,112753,20861,32145,255617,114873
16,구로구,137863,116888,85541,11294,20053,171257,89136
17,금천구,72901,61484,44966,6370,10148,111789,47405
18,영등포구,114173,100662,67797,14971,17894,174908,77566
19,동작구,122058,108542,75570,15593,17379,173897,80980
20,관악구,130244,115448,84923,12806,17719,263166,88971
21,서초구,136528,116372,77562,18092,20718,157290,85753
22,강남구,184608,153717,99247,24533,29937,218895,110714
23,송파구,221082,198677,140790,22526,35361,265857,134185
24,강동구,151178,124154,90139,13781,20234,189599,90856
