행정구역별,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
행정구역별,인구 천명당 범죄발생건수<br>(A÷B×1000) (건),범죄발생건수<br>(A) (건),주민등록인구<br>(B) (명),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),범죄발생건수<br>(A) (건),주민등록인구<br>(B) (명),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),범죄발생건수<br>(A) (건),주민등록인구<br>(B) (명),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),범죄발생건수<br>(A) (건),주민등록인구<br>(B) (명),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),범죄발생건수<br>(A) (건),주민등록인구<br>(B) (명)
전국,30.3,1568968,51849861,29.8,1542270,51829023,26.8,1382736,51638809,27.9,1434888,51439038,28.6,1467729,51325329
서울특별시,31.8,309269,9729107,30.6,296178,9668465,27.1,257969,9509458,29.6,279507,9428372,29.5,277213,9386034
부산광역시,33.1,113138,3413841,33.5,113652,3391946,30,100439,3350380,31.7,105057,3317812,32.3,106433,3293362
대구광역시,31.1,75797,2438031,29.9,72373,2418346,28.5,67915,2385412,28.3,66786,2363691,28.1,66674,2374960
인천광역시,30.6,90608,2957026,30,88143,2942828,26,76584,2948375,27.8,82397,2967314,29.3,87831,2997410
광주광역시,30.4,44274,1456468,30,43517,1450062,27.3,39392,1441611,27.2,38900,1431050,29.6,42058,1419237
대전광역시,30.6,45167,1474870,30.5,44623,1463882,27.5,39982,1452251,30.2,43736,1446072,30,43327,1442216
울산광역시,28.6,32780,1148019,27.6,31381,1136017,25.9,29085,1121592,24.6,27286,1110663,27.1,29859,1103661
세종특별자치시,17.9,6111,340575,17.6,6276,355831,16,5937,371895,17.1,6575,383591,19.7,7603,386525
경기도,29.8,394276,13239666,29.4,394226,13427014,26.3,357243,13565450,26.8,364534,13589432,27.7,378157,13630821
강원특별자치도,29.9,46096,1541502,28.9,44571,1542840,25.7,39593,1538492,27.1,41715,1536498,28.3,43173,1527807
충청북도,30.1,48085,1600007,29.9,47864,1600837,27.2,43397,1597427,27.6,44055,1595058,26.7,42517,1593469
충청남도,29.5,62666,2123709,29,61612,2121029,25.6,54223,2119257,27.9,59196,2123037,28.9,61507,2130119
전북특별자치도,26.5,48252,1818917,26.3,47446,1804104,24.4,43650,1786855,25.5,45199,1769607,26.3,46143,1754757
전라남도,28.2,52698,1868745,27.8,51519,1851549,26.4,48380,1832803,26.4,48062,1817697,27.7,49909,1804217
경상북도,29.1,77449,2665836,27.9,73762,2639422,25,65553,2626609,25.7,66928,2600492,26.6,67953,2554324
경상남도,28.6,96212,3362553,29.3,97998,3340216,26.5,87879,3314183,27.1,88852,3280493,27.8,90536,3251158
제주특별자치도,38.9,26090,670989,40.2,27129,674635,37.7,25515,676759,38.5,26103,678159,39.7,26836,675252
