"도심지점별(1)",도심지점별(2),2017,2018,2019,2020,2021,2022,2023
"합계",성산로(금화터널),72010,70968,70553,64560,61628,63125,62719
"합계",사직로(사직터널),79182,78237,77165,70637,68168,67874,68989
"합계",자하문로(자하문터널),34979,33792,32824,30570,29086,27352,27428
"합계",대사관로(삼청터널),12400,12793,12622,11832,11963,10925,10508
"합계",율곡로(안국역),56697,59958,58008,55353,52628,53866,53806
"합계",창경궁로(서울여자대학교),44903,42976,41802,39000,38112,40487,41506
"합계",대학로(한국방송통신대학교),38422,39126,39053,35754,33772,32746,35030
"합계",종로(동묘앞역),56616,53223,53583,52449,50765,50681,52146
"합계",퇴계로(신당역),51913,48783,46455,44075,41021,41158,43085
"합계",동호로(장충체육관),68962,68290,62588,54133,52273,53542,56042
"합계",장충단로(장충단공원),56157,55398,54119,48378,47768,48456,49261
"합계",퇴계로(회현역),34270,32875,32945,29686,29730,29905,29707
"합계",세종대로(서울역),69216,62856,61168,53936,53578,54211,55509
"합계",새문안로(서울역사박물관),-,49446,48852,45749,45839,46193,47579
"합계",종로(종로3가역),69224,46469,46327,42628,41143,41158,41664
"합계",서소문로(시청역),53835,51168,49602,46063,42890,44797,43390
"합계",세종대로(시청역2),83213,79221,76671,69782,61490,60933,61799
"합계",을지로(을지로3가역),35819,35238,34244,32305,31220,30783,31410
"합계",칠패로(숭례문),19185,19158,18494,16897,16232,16281,18107
"합계",남산1호터널,70399,69174,70070,63920,63685,65518,67741
"합계",남산2호터널,26487,27261,26395,20999,19913,19678,20439
"합계",남산3호터널,39874,39325,38341,33026,31989,32713,34413
"합계",소월로(회현역),16256,15582,14359,12169,11306,10832,11407
"합계",소파로(숭의여자대학교),15444,15070,13662,10097,9618,9592,9502
