자치구명,평균생활인구수_2023,범죄발생건수_2023,CCTV_설치대수_2023,가로등_개수_2023,범죄율_per_1000,CCTV_per_1000,가로등_per_1000
강남구,852113.5401008219,6763.0,8352.0,14771.0,7.936735753782065,9.801510722399497,17.334544406197676
강동구,508275.6957879452,3398.0,4238.0,8165.0,6.685348184379173,8.337994586638887,16.064116517203043
강북구,284456.8634468493,2497.0,3584.0,4379.0,8.778132366866107,12.599449901020476,15.39424975350688
강서구,551106.2104156164,4296.0,3874.0,10433.0,7.795230608561232,7.029497992915785,18.93101511618234
관악구,479711.99265671236,4769.0,6614.0,5946.0,9.941381647743698,13.787439341198747,12.394937151915293
광진구,383935.3382720548,3424.0,4636.0,5105.0,8.918168396298467,12.074949966483555,13.296509831513921
구로구,419740.7328726027,3737.0,5694.0,8688.0,8.90311496438501,13.565516887130919,20.69849152009017
금천구,235221.1663460274,2240.0,3458.0,5169.0,9.522952525049542,14.70105796054523,21.975063215170128
노원구,489537.23424684926,3567.0,4105.0,9510.0,7.286473327177682,8.385470425585753,19.426510048068334
도봉구,263734.39769671235,1921.0,2808.0,5032.0,7.283843202770614,10.64707533231644,19.079801663894703
동대문구,374936.8845684932,2957.0,3846.0,8517.0,7.886660719985306,10.257726455550722,22.71582325063066
동작구,388401.2294936986,2642.0,3664.0,6171.0,6.802244172717954,9.433543773216723,15.888209231583076
마포구,484143.83878136985,3834.0,3809.0,9008.0,7.919134135116737,7.867496588591458,18.606040763988407
서대문구,387989.2213219178,2385.0,4218.0,6015.0,6.147077982924547,10.871436030178508,15.503007994671343
서울시,10827619.235284382,,0.0,0.0,,0.0,0.0
서초구,577242.7660126027,4522.0,6036.0,12634.0,7.8337924115298,10.456605704554153,21.886805247073752
성동구,355710.4326419178,2023.0,4638.0,6283.0,5.687210197842268,13.038695451108474,17.663243535859106
성북구,434639.54141068493,2411.0,4906.0,5796.0,5.547125307961521,11.2875142102278,13.335188007028194
송파구,754836.3808873972,5223.0,4665.0,15197.0,6.919380321679463,6.18014727180446,20.132839890592148
양천구,369032.86370958906,3019.0,4854.0,8848.0,8.18084321719327,13.153300091505841,23.976184427203066
영등포구,521944.50443095894,4418.0,5133.0,9986.0,8.464501422074841,9.834378859101438,19.132302218388265
용산구,305868.2325115068,3021.0,3609.0,7560.0,9.876802096099828,11.799198531884898,24.716525602950906
은평구,426155.547890137,3493.0,5683.0,6581.0,8.196537666337026,13.335506314856374,15.442718116851978
종로구,309795.39707561646,2981.0,2339.0,7433.0,9.622479959805155,7.550144456888378,23.99325512956448
중구,320749.55376657535,3348.0,0.0,8709.0,10.438050375080172,0.0,27.15202530363597
중랑구,348339.66899068496,3324.0,5392.0,7668.0,9.542410170025418,15.479144295059283,22.012996746015315
