,발생년도,경찰서,살인,강도,절도,폭력,시군구
0,2023,서울중부경찰서,2,1,917,1032,중구
1,2023,서울종로경찰서,5,5,607,892,종로구
2,2023,서울남대문경찰서,1,5,603,575,중구
3,2023,서울서대문경찰서,5,0,1194,1026,서대문구
4,2023,서울혜화경찰서,0,0,562,671,종로구
5,2023,서울용산경찰서,3,3,978,1792,용산구
6,2023,서울성북경찰서,1,0,500,662,성북구
7,2023,서울동대문경찰서,5,4,1280,1522,동대문구
8,2023,서울마포경찰서,3,4,1472,1908,마포구
9,2023,서울영등포경찰서,12,10,1854,2232,영등포구
10,2023,서울성동경찰서,2,2,893,1007,성동구
11,2023,서울동작경찰서,3,3,1183,1262,동작구
12,2023,서울광진경찰서,2,5,1616,1563,광진구
13,2023,서울서부경찰서,4,2,790,919,은평구
14,2023,서울강북경찰서,7,1,917,1431,강북구
15,2023,서울금천경찰서,4,5,987,1116,금천구
16,2023,서울중랑경찰서,6,2,1402,1745,중랑구
17,2023,서울강남경찰서,9,10,1636,2322,강남구
18,2023,서울관악경찰서,16,10,2013,2402,관악구
19,2023,서울강서경찰서,1,6,1794,2195,강서구
20,2023,서울강동경찰서,4,5,1676,1569,강동구
21,2023,서울종암경찰서,0,1,484,622,성북구
22,2023,서울구로경찰서,12,7,1624,1900,구로구
23,2023,서울서초경찰서,7,9,1644,1790,서초구
24,2023,서울양천경찰서,6,2,1404,1494,양천구
25,2023,서울송파경찰서,8,9,2416,2483,송파구
26,2023,서울노원경찰서,7,3,1632,1766,노원구
27,2023,서울방배경찰서,0,0,297,363,서초구
28,2023,서울은평경찰서,3,1,824,797,은평구
29,2023,서울도봉경찰서,7,4,995,825,도봉구
30,2023,서울수서경찰서,5,10,844,1249,서초구
