,자치구별,인구소계,봉사활동 등록률,이혼율
0,종로구,139417,45.09,1.43
1,중구,121312,33.53,1.62
2,용산구,213151,26.23,1.46
3,성동구,277361,27.77,1.23
4,광진구,335554,27.17,1.34
5,동대문구,341149,26.51,1.22
6,중랑구,382155,28.52,1.57
7,성북구,425602,25.13,1.23
8,강북구,288113,21.9,1.73
9,도봉구,306948,26.68,1.54
10,노원구,498213,32.2,1.35
11,은평구,466770,26.64,1.48
12,서대문구,306231,30.97,1.22
13,마포구,363697,27.68,1.18
14,양천구,436028,32.76,1.29
15,강서구,563058,34.73,1.47
16,구로구,392405,23.48,1.47
17,금천구,227481,25.07,1.64
18,영등포구,374794,27.25,1.18
19,동작구,378769,23.31,1.06
20,관악구,481956,23.83,1.36
21,서초구,407664,29.72,1.06
22,강남구,544873,36.12,1.05
23,송파구,654166,24.5,1.16
24,강동구,459167,24.77,1.37
